first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Bradley,Beal,PG,SG,,2024-01-03,,PHO,LAC,+4,232,114,6900,9,8.0,23.2,33.3,34.4,4.99
Jalen,Johnson,PF,,,2024-01-03,,ATL,OKC,+1,248,123.5,6300,22,17.3,31.9,48.3,34.3,5.44
Mikal,Bridges,SG,,,2024-01-03,,BKN,HOU,+5,220.5,107.8,7200,28,12.8,27.2,44.8,34.0,4.72
Clint,Capela,C,,,2024-01-03,,ATL,OKC,+1,248,123.5,6400,7,19.5,32.4,41.5,33.7,5.27
Zion,Williamson,PF,,,2024-01-03,,NO,MIN,+6.5,222.5,108,7800,9,21.3,39.2,49.0,33.6,4.31
Malcolm,Brogdon,PG,SG,,2024-01-03,,POR,DAL,+11.5,238.5,113.5,7800,7,20.0,40.0,51.5,33.5,4.29
Nic,Claxton,C,,,2024-01-03,,BKN,HOU,+5,220.5,107.8,7300,11,17.3,33.3,48.0,33.5,4.59
Coby,White,PG,,Q,2024-01-03,,CHI,NY,+9,220.5,105.8,7600,15,25.3,29.6,32.5,33.3,4.38
Jordan,Clarkson,SG,,,2024-01-03,,UTA,DET,-8.5,240,124.3,6000,24,16.5,35.4,52.5,32.9,5.48
Max,Strus,SG,SF,,2024-01-03,,CLE,WAS,-9.5,239.5,124.5,6500,7,21.5,30.0,44.8,32.7,5.03
Caris,LeVert,SG,SF,,2024-01-03,,CLE,WAS,-9.5,239.5,124.5,6400,7,14.3,31.9,44.0,32.4,5.06
Jalen,Williams,SF,PF,,2024-01-03,,OKC,ATL,-1,248,124.5,7300,20,27.3,34.9,47.0,32.1,4.40
Bojan,Bogdanovic,SF,,,2024-01-03,,DET,UTA,+8.5,240,115.8,6300,2,19.0,31.9,42.0,31.9,5.06
Jakob,Poeltl,C,,,2024-01-03,,TOR,MEM,+1,227.5,113.3,6100,18,15.5,30.9,39.3,30.9,5.07
Jalen,Green,SG,,,2024-01-03,,HOU,BKN,-5,220.5,112.8,7000,6,11.3,29.2,46.5,30.5,4.36
Collin,Sexton,PG,SG,,2024-01-03,,UTA,DET,-8.5,240,124.3,6200,12,20.3,30.1,38.3,29.8,4.81
Spencer,Dinwiddie,PG,SG,,2024-01-03,,BKN,HOU,+5,220.5,107.8,6900,1,7.0,26.1,39.0,29.8,4.32
OG,Anunoby,SF,PF,,2024-01-03,,NY,CHI,-9,220.5,114.8,5600,27,22.0,29.3,37.5,29.7,5.30
Jaden,Ivey,PG,SG,,2024-01-03,,DET,UTA,+8.5,240,115.8,6000,24,26.3,34.6,45.0,29.5,4.92
Immanuel,Quickley,PG,SG,,2024-01-03,,TOR,MEM,+1,227.5,113.3,6400,20,11.0,21.7,31.0,29.3,4.58
Daniel,Gafford,C,,,2024-01-03,,WAS,CLE,+9.5,239.5,115,6200,10,11.8,29.1,43.8,29.3,4.73
Tyus,Jones,PG,,,2024-01-03,,WAS,CLE,+9.5,239.5,115,6100,18,25.0,31.1,43.5,29.3,4.80
RJ,Barrett,SG,SF,,2024-01-03,,TOR,MEM,+1,227.5,113.3,6300,20,23.0,28.2,31.5,29.1,4.62
Jabari,Smith Jr.,PF,,,2024-01-03,,HOU,BKN,-5,220.5,112.8,6800,14,16.8,28.3,49.8,29.0,4.26
Josh,Giddey,PG,SG,,2024-01-03,,OKC,ATL,-1,248,124.5,5900,27,20.5,29.9,42.5,28.8,4.88
Brook,Lopez,C,,,2024-01-03,,MIL,IND,-3.5,257,130.3,6000,2,12.3,27.1,37.8,28.8,4.80
Bogdan,Bogdanovic,SG,SF,,2024-01-03,,ATL,OKC,+1,248,123.5,6600,19,15.3,26.7,38.0,28.3,4.29
Jonas,Valanciunas,C,,,2024-01-03,,NO,MIN,+6.5,222.5,108,6500,20,13.5,29.5,38.3,28.1,4.32
Jordan,Poole,PG,SG,,2024-01-03,,WAS,CLE,+9.5,239.5,115,6400,18,12.5,30.0,44.5,28.0,4.38
Isaiah,Hartenstein,C,,,2024-01-03,,NY,CHI,-9,220.5,114.8,5900,13,19.3,26.5,34.3,28.0,4.75
Tim,Hardaway Jr.,SG,SF,,2024-01-03,,DAL,POR,-11.5,238.5,125,6100,22,8.0,28.0,46.3,27.8,4.56
Deni,Avdija,SF,PF,,2024-01-03,,WAS,CLE,+9.5,239.5,115,5900,16,19.8,30.6,52.8,27.8,4.71
Walker,Kessler,C,,,2024-01-03,,UTA,DET,-8.5,240,124.3,5400,29,22.0,27.4,34.5,27.4,5.07
Saddiq,Bey,PF,,,2024-01-03,,ATL,OKC,+1,248,123.5,5900,22,26.0,30.8,37.0,27.3,4.63
Cameron,Johnson,PF,,,2024-01-03,,BKN,HOU,+5,220.5,107.8,6400,1,23.0,28.5,32.0,27.0,4.22
Mike,Conley,PG,,,2024-01-03,,MIN,NO,-6.5,222.5,114.5,5800,5,19.0,29.6,38.8,26.9,4.64
Marcus,Smart,PG,SG,,2024-01-03,,MEM,TOR,-1,227.5,114.3,6200,8,10.5,25.3,34.5,26.6,4.29
Ivica,Zubac,C,,,2024-01-03,,LAC,PHO,-4,232,118,6300,4,14.3,31.5,46.0,26.3,4.17
Dereck,Lively II,C,,,2024-01-03,,DAL,POR,-11.5,238.5,125,5500,24,9.0,22.9,35.0,26.0,4.73
