Athlete,Draftkings Price,DK NBA Ownership Projection,Fanduel Price,FD NBA Ownership Projection
Luguentz Dort,"$5,000",9.30%,"$5,300",10.40%
Daniel Gafford,"$6,200",3.00%,"$6,700",5.80%
Quentin Grimes,"$3,100",9.70%,"$3,900",0.50%
Cameron Johnson,"$6,400",4.30%,"$5,800",21.60%
Jordan Poole,"$6,400",2.00%,"$6,900",2.60%
Naz Reid,"$5,200",3.90%,"$5,500",2.90%
Matisse Thybulle,"$4,500",0.30%,"$4,200",0.70%
Grant Williams,"$4,300",1.10%,"$4,700",0.90%
Dean Wade,"$4,400",1.80%,"$4,500",3.20%
Anthony Edwards,"$9,100",7.30%,"$9,500",7.10%
James Wiseman,"$3,800",0.40%,"$4,000",0.60%
Killian Hayes,"$3,900",0.20%,"$4,600",0.20%
Deni Avdija,"$5,900",7.60%,"$6,100",10.00%
Obi Toppin,"$4,600",1.80%,"$5,200",0.90%
Onyeka Okongwu,"$5,300",4.50%,"$5,900",4.10%
Tyrese Haliburton,"$10,200",16.80%,"$11,200",7.50%
Isaac Okoro,"$5,000",7.20%,"$4,900",29.10%
Patrick Williams,"$5,400",8.60%,"$5,800",9.10%
Precious Achiuwa,"$3,600",10.90%,"$5,000",0.30%
Aaron Nesmith,"$5,600",3.90%,"$5,600",5.10%
Saddiq Bey,"$5,900",3.40%,"$6,200",3.80%
Josh Green,"$4,000",1.20%,"$4,400",0.60%
Jaden Mcdaniels,"$4,700",8.00%,"$5,200",5.00%
Jalen Smith,"$5,400",3.60%,"$4,900",4.60%
Immanuel Quickley,"$6,400",5.10%,"$6,500",8.00%
Isaiah Joe,"$4,000",1.00%,"$4,300",0.40%
Xavier Tillman,"$4,100",2.70%,"$4,700",1.20%
Desmond Bane,"$8,500",4.40%,"$8,800",4.50%
Jalen Green,"$7,000",4.80%,"$6,800",11.20%
Naji Marshall,"$4,300",1.00%,"$4,400",1.10%
Sam Merrill,"$3,400",20.10%,"$4,100",1.20%
Ayo Dosunmu,"$4,900",8.20%,"$5,400",5.00%
Jaesean Tate,"$4,500",5.30%,"$4,300",27.10%
Herbert Jones,"$5,500",3.80%,"$5,000",18.00%
Ochai Agbaji,"$3,300",0.70%,"$4,300",0.10%
Isaiah Jackson,"$3,800",3.20%,"$4,900",1.20%
Dayron Sharpe,"$4,800",6.70%,"$5,400",4.10%
Jalen Johnson,"$6,300",30.60%,"$6,900",27.20%
Corey Kispert,"$4,700",2.60%,"$4,600",1.00%
Cam Thomas,"$6,100",3.60%,"$6,100",3.70%
Scottie Barnes,"$9,000",12.30%,"$9,600",11.30%
Alperen Sengun,"$8,900",8.80%,"$9,200",9.90%
Josh Giddey,"$5,900",18.30%,"$6,300",14.50%
Santi Aldama,"$4,200",36.80%,"$4,800",15.80%
Isaiah Livers,"$3,300",0.50%,"$3,700",0.10%
Cade Cunningham,"$8,500",8.00%,"$9,200",4.60%
Aaron Wiggins,"$3,500",0.40%,"$3,900",0.20%
Jose Alvarado,"$3,900",1.70%,"$4,500",1.00%
Terry Taylor,"$3,900",0.40%,"$3,500",0.90%
Dyson Daniels,"$3,800",0.10%,"$4,000",0.10%
