Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Chris Rodriguez Jr. (40259504),Chris Rodriguez Jr.,40259504,RB/FLEX,4100,WAS@LAC 10/05/2025 04:25PM ET,WAS,4.9
WR,Dyami Brown (40259468),Dyami Brown,40259468,WR/FLEX,4100,KC@JAX 10/06/2025 08:15PM ET,JAX,9.7
RB,Khalil Herbert (40259320),Khalil Herbert,40259320,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,0
RB,Patrick Ricard (40259083),Patrick Ricard,40259083,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,BAL,0
RB,Dare Ogunbowale (40259102),Dare Ogunbowale,40259102,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,HOU,0.9
TE,Mark Andrews (40259143),Mark Andrews,40259143,TE/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,BAL,10
QB,Davis Mills (40259412),Davis Mills,40259412,QB,4000,HOU@BAL 10/05/2025 01:00PM ET,HOU,0
RB,Dameon Pierce (40259481),Dameon Pierce,40259481,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,HOU,0.5
RB,British Brooks (40259588),British Brooks,40259588,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,HOU,0
RB,Jawhar Jordan (40259646),Jawhar Jordan,40259646,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,HOU,0
QB,Graham Mertz (40259668),Graham Mertz,40259668,QB,4000,HOU@BAL 10/05/2025 01:00PM ET,HOU,0
RB,Keaton Mitchell (40259859),Keaton Mitchell,40259859,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,BAL,0
RB,Rasheen Ali (40259892),Rasheen Ali,40259892,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,BAL,0.12
RB,Lucas Scott (40260045),Lucas Scott,40260045,RB/FLEX,4000,HOU@BAL 10/05/2025 01:00PM ET,BAL,0
RB,Jeff Wilson Jr. (40259168),Jeff Wilson Jr.,40259168,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,MIA,0
RB,Alec Ingold (40259237),Alec Ingold,40259237,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,MIA,1.1
RB,JaMycal Hasty (40259268),JaMycal Hasty,40259268,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,MIA,0
RB,Alexander Mattison (40259328),Alexander Mattison,40259328,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,MIA,0
RB,DeeJay Dallas (40259357),DeeJay Dallas,40259357,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,CAR,0
QB,Hendon Hooker (40259368),Hendon Hooker,40259368,QB,4000,MIA@CAR 10/05/2025 01:00PM ET,CAR,0
RB,Jonathon Brooks (40260047),Jonathon Brooks,40260047,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,CAR,0
QB,Quinn Ewers (40260057),Quinn Ewers,40260057,QB,4000,MIA@CAR 10/05/2025 01:00PM ET,MIA,0
RB,Trevor Etienne (40260082),Trevor Etienne,40260082,RB/FLEX,4000,MIA@CAR 10/05/2025 01:00PM ET,CAR,0.98
RB,Ameer Abdullah (40259059),Ameer Abdullah,40259059,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,IND,0
QB,Jeff Driskel (40259063),Jeff Driskel,40259063,QB,4000,LV@IND 10/05/2025 01:00PM ET,LV,0
QB,Kenny Pickett (40259367),Kenny Pickett,40259367,QB,4000,LV@IND 10/05/2025 01:00PM ET,LV,0
RB,Salvon Ahmed (40259375),Salvon Ahmed,40259375,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,IND,0
QB,Aidan O'Connell (40259442),Aidan O'Connell,40259442,QB,4000,LV@IND 10/05/2025 01:00PM ET,LV,0
RB,Zamir White (40259496),Zamir White,40259496,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,LV,2.47
RB,Dylan Laube (40259541),Dylan Laube,40259541,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,LV,0.98
RB,Tyler Goodson (40259682),Tyler Goodson,40259682,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,IND,0.8
RB,Ulysses Bentley IV (40259715),Ulysses Bentley IV,40259715,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,IND,0
QB,Anthony Richardson Sr. (40259828),Anthony Richardson Sr.,40259828,QB,4000,LV@IND 10/05/2025 01:00PM ET,IND,-0.1
RB,Chris Collier (40259847),Chris Collier,40259847,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,LV,0
QB,Cam Miller (40259926),Cam Miller,40259926,QB,4000,LV@IND 10/05/2025 01:00PM ET,LV,0
QB,Riley Leonard (40260010),Riley Leonard,40260010,QB,4000,LV@IND 10/05/2025 01:00PM ET,IND,0
RB,DJ Giddens (40260013),DJ Giddens,40260013,RB/FLEX,4000,LV@IND 10/05/2025 01:00PM ET,IND,1.1
QB,Russell Wilson (40259038),Russell Wilson,40259038,QB,4000,NYG@NO 10/05/2025 01:00PM ET,NYG,13.21
QB,Jameis Winston (40259089),Jameis Winston,40259089,QB,4000,NYG@NO 10/05/2025 01:00PM ET,NYG,0
RB,Velus Jones Jr. (40259294),Velus Jones Jr.,40259294,RB/FLEX,4000,NYG@NO 10/05/2025 01:00PM ET,NO,0
QB,Jake Haener (40259377),Jake Haener,40259377,QB,4000,NYG@NO 10/05/2025 01:00PM ET,NO,0
RB,Dante Miller (40259527),Dante Miller,40259527,RB/FLEX,4000,NYG@NO 10/05/2025 01:00PM ET,NYG,0
RB,Eric Gray (40259632),Eric Gray,40259632,RB/FLEX,4000,NYG@NO 10/05/2025 01:00PM ET,NYG,0
RB,Devin Neal (40260011),Devin Neal,40260011,RB/FLEX,4000,NYG@NO 10/05/2025 01:00PM ET,NO,0.9
QB,Will Grier (40259140),Will Grier,40259140,QB,4000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,0
RB,Andrew Beck (40259160),Andrew Beck,40259160,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,0
RB,Kene Nwangwu (40259338),Kene Nwangwu,40259338,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,0
RB,Malik Davis (40259348),Malik Davis,40259348,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,0
QB,Joe Milton III (40259499),Joe Milton III,40259499,QB,4000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,0.64
RB,Hunter Luepke (40259613),Hunter Luepke,40259613,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,0.15
QB,Brady Cook (40259783),Brady Cook,40259783,QB,4000,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,0
RB,Lawrance Toafili (40259861),Lawrance Toafili,40259861,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,0
RB,Isaiah Davis (40259931),Isaiah Davis,40259931,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,NYJ,2.02
RB,Phil Mafah (40259987),Phil Mafah,40259987,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,0
RB,Jaydon Blue (40260062),Jaydon Blue,40260062,RB/FLEX,4000,DAL@NYJ 10/05/2025 01:00PM ET,DAL,0
RB,Michael Burton (40259051),Michael Burton,40259051,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,0
RB,Adam Prentice (40259266),Adam Prentice,40259266,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,0.45
QB,Sam Ehlinger (40259352),Sam Ehlinger,40259352,QB,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,0
RB,A.J. Dillon (40259413),A.J. Dillon,40259413,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,1.15
QB,Tanner McKee (40259555),Tanner McKee,40259555,QB,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,0
RB,Tyler Badie (40259566),Tyler Badie,40259566,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,2.48
RB,Ben VanSumeren (40259600),Ben VanSumeren,40259600,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,0
QB,Sam Howell (40259677),Sam Howell,40259677,QB,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,0
RB,Tank Bigsby (40259829),Tank Bigsby,40259829,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,0.3
RB,Deuce Vaughn (40259886),Deuce Vaughn,40259886,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,0
RB,Jaleel McLaughlin (40259933),Jaleel McLaughlin,40259933,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,0
WR,Troy Franklin (40259963),Troy Franklin,40259963,WR/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,DEN,11.18
RB,Will Shipley (40259983),Will Shipley,40259983,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,1.3
QB,Kyle McCord (40259995),Kyle McCord,40259995,QB,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,0
RB,Audric Estime (40260031),Audric Estime,40260031,RB/FLEX,4000,DEN@PHI 10/05/2025 01:00PM ET,PHI,0
QB,Trevor Siemian (40259048),Trevor Siemian,40259048,QB,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
QB,Brandon Allen (40259070),Brandon Allen,40259070,QB,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
QB,Jacoby Brissett (40259079),Jacoby Brissett,40259079,QB,4000,TEN@ARI 10/05/2025 04:05PM ET,ARI,0.2
RB,James Conner (40259116),James Conner,40259116,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,ARI,11.1
RB,Michael Carter (40259359),Michael Carter,40259359,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,ARI,0.1
RB,Jordan Mims (40259365),Jordan Mims,40259365,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
RB,Raheem Blackshear (40259446),Raheem Blackshear,40259446,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
QB,Will Levis (40259514),Will Levis,40259514,QB,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0
RB,Julius Chestnut (40259576),Julius Chestnut,40259576,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,TEN,0.7
QB,Kedon Slovis (40259634),Kedon Slovis,40259634,QB,4000,TEN@ARI 10/05/2025 04:05PM ET,ARI,0
RB,Zonovan Knight (40259644),Zonovan Knight,40259644,RB/FLEX,4000,TEN@ARI 10/05/2025 04:05PM ET,ARI,0
