Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Puka Nacua (41371615),Puka Nacua,41371615,WR/FLEX,9000,ARI@LAR 01/04/2026 04:25PM ET,LAR,24.53
RB,Christian McCaffrey (41371251),Christian McCaffrey,41371251,RB/FLEX,8800,SEA@SF 01/03/2026 08:00PM ET,SF,26.06
RB,Bijan Robinson (41371253),Bijan Robinson,41371253,RB/FLEX,8700,NO@ATL 01/04/2026 01:00PM ET,ATL,24.22
WR,Jaxon Smith-Njigba (41371617),Jaxon Smith-Njigba,41371617,WR/FLEX,8600,SEA@SF 01/03/2026 08:00PM ET,SEA,23.34
WR,Ja'Marr Chase (41371619),Ja'Marr Chase,41371619,WR/FLEX,8500,CLE@CIN 01/04/2026 01:00PM ET,CIN,20.8
RB,De'Von Achane (41371255),De'Von Achane,41371255,RB/FLEX,8200,MIA@NE 01/04/2026 04:25PM ET,MIA,20.92
RB,Jahmyr Gibbs (41371257),Jahmyr Gibbs,41371257,RB/FLEX,8000,DET@CHI 01/04/2026 04:25PM ET,DET,22.48
RB,James Cook III (41371259),James Cook III,41371259,RB/FLEX,7900,NYJ@BUF 01/04/2026 04:25PM ET,BUF,20.67
RB,Jonathan Taylor (41371261),Jonathan Taylor,41371261,RB/FLEX,7800,IND@HOU 01/04/2026 01:00PM ET,IND,23.28
WR,Amon-Ra St. Brown (41371621),Amon-Ra St. Brown,41371621,WR/FLEX,7700,DET@CHI 01/04/2026 04:25PM ET,DET,19.44
RB,Derrick Henry (41371263),Derrick Henry,41371263,RB/FLEX,7700,BAL@PIT 01/04/2026 08:20PM ET,BAL,18.18
RB,Chase Brown (41371265),Chase Brown,41371265,RB/FLEX,7600,CLE@CIN 01/04/2026 01:00PM ET,CIN,17.04
TE,Trey McBride (41372193),Trey McBride,41372193,TE/FLEX,7500,ARI@LAR 01/04/2026 04:25PM ET,ARI,19.46
WR,Chris Olave (41371623),Chris Olave,41371623,WR/FLEX,7400,NO@ATL 01/04/2026 01:00PM ET,NO,17.38
WR,CeeDee Lamb (41371625),CeeDee Lamb,41371625,WR/FLEX,7300,DAL@NYG 01/04/2026 01:00PM ET,DAL,16.73
