Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (41527818),Christian McCaffrey,41527818,RB/FLEX,8800,SF@SEA 01/17/2026 08:00PM ET,SF,25.44
WR,Jaxon Smith-Njigba (41527872),Jaxon Smith-Njigba,41527872,WR/FLEX,8500,SF@SEA 01/17/2026 08:00PM ET,SEA,22.82
RB,James Cook III (41527820),James Cook III,41527820,RB/FLEX,7300,BUF@DEN 01/17/2026 04:30PM ET,BUF,18.85
QB,Josh Allen (41527805),Josh Allen,41527805,QB,7100,BUF@DEN 01/17/2026 04:30PM ET,BUF,23.16
RB,RJ Harvey (41527822),RJ Harvey,41527822,RB/FLEX,6200,BUF@DEN 01/17/2026 04:30PM ET,DEN,12.21
WR,Courtland Sutton (41527874),Courtland Sutton,41527874,WR/FLEX,5900,BUF@DEN 01/17/2026 04:30PM ET,DEN,13.28
QB,Bo Nix (41527806),Bo Nix,41527806,QB,5800,BUF@DEN 01/17/2026 04:30PM ET,DEN,19.40
QB,Brock Purdy (41527807),Brock Purdy,41527807,QB,5600,SF@SEA 01/17/2026 08:00PM ET,SF,21.43
RB,Kenneth Walker III (41527824),Kenneth Walker III,41527824,RB/FLEX,5500,SF@SEA 01/17/2026 08:00PM ET,SEA,11.64
QB,Sam Darnold (41527808),Sam Darnold,41527808,QB,5400,SF@SEA 01/17/2026 08:00PM ET,SEA,15.38
WR,Jauan Jennings (41527876),Jauan Jennings,41527876,WR/FLEX,5400,SF@SEA 01/17/2026 08:00PM ET,SF,11.56
RB,Zach Charbonnet (41527826),Zach Charbonnet,41527826,RB/FLEX,5300,SF@SEA 01/17/2026 08:00PM ET,SEA,11.52
WR,Khalil Shakir (41527878),Khalil Shakir,41527878,WR/FLEX,5100,BUF@DEN 01/17/2026 04:30PM ET,BUF,11.21
WR,Troy Franklin (41527880),Troy Franklin,41527880,WR/FLEX,4900,BUF@DEN 01/17/2026 04:30PM ET,DEN,10.48
