Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (40770268),Christian McCaffrey,40770268,RB/FLEX,9000,SF@ARI 11/16/2025 04:05PM ET,SF,25.48
WR,Jaxon Smith-Njigba (40770981),Jaxon Smith-Njigba,40770981,WR/FLEX,8900,SEA@LAR 11/16/2025 04:05PM ET,SEA,24.03
WR,Puka Nacua (40770811),Puka Nacua,40770811,WR/FLEX,8700,SEA@LAR 11/16/2025 04:05PM ET,LAR,23.5
WR,Ja'Marr Chase (40770644),Ja'Marr Chase,40770644,WR/FLEX,8500,CIN@PIT 11/16/2025 01:00PM ET,CIN,22.3
WR,Amon-Ra St. Brown (40770748),Amon-Ra St. Brown,40770748,WR/FLEX,8400,DET@PHI 11/16/2025 08:20PM ET,DET,20.91
RB,Bijan Robinson (40771055),Bijan Robinson,40771055,RB/FLEX,8300,CAR@ATL 11/16/2025 01:00PM ET,ATL,21.4
RB,Jahmyr Gibbs (40770987),Jahmyr Gibbs,40770987,RB/FLEX,8200,DET@PHI 11/16/2025 08:20PM ET,DET,21.11
WR,CeeDee Lamb (40770561),CeeDee Lamb,40770561,WR/FLEX,8000,DAL@LV 11/17/2025 08:15PM ET,DAL,16.55
WR,Rashee Rice (40770891),Rashee Rice,40770891,WR/FLEX,7900,KC@DEN 11/16/2025 04:25PM ET,KC,22.43
RB,Josh Jacobs (40770446),Josh Jacobs,40770446,RB/FLEX,7800,GB@NYG 11/16/2025 01:00PM ET,GB,19.72
WR,Davante Adams (40770178),Davante Adams,40770178,WR/FLEX,7700,SEA@LAR 11/16/2025 04:05PM ET,LAR,17.31
RB,Saquon Barkley (40770360),Saquon Barkley,40770360,RB/FLEX,7600,DET@PHI 11/16/2025 08:20PM ET,PHI,15.99
WR,Justin Jefferson (40770593),Justin Jefferson,40770593,WR/FLEX,7500,CHI@MIN 11/16/2025 01:00PM ET,MIN,15.33
WR,Drake London (40770917),Drake London,40770917,WR/FLEX,7400,CAR@ATL 11/16/2025 01:00PM ET,ATL,21.39
RB,James Cook III (40770785),James Cook III,40770785,RB/FLEX,7300,TB@BUF 11/16/2025 01:00PM ET,BUF,19.82
WR,Emeka Egbuka (40771179),Emeka Egbuka,40771179,WR/FLEX,7200,TB@BUF 11/16/2025 01:00PM ET,TB,17.29
QB,Josh Allen (40770330),Josh Allen,40770330,QB,7000,TB@BUF 11/16/2025 01:00PM ET,BUF,24.18
RB,Bucky Irving (40771184),Bucky Irving,40771184,RB/FLEX,7000,TB@BUF 11/16/2025 01:00PM ET,TB,19
WR,George Pickens (40770879),George Pickens,40770879,WR/FLEX,7000,DAL@LV 11/17/2025 08:15PM ET,DAL,18.6
RB,Kyren Williams (40770856),Kyren Williams,40770856,RB/FLEX,6900,SEA@LAR 11/16/2025 04:05PM ET,LAR,17.18
QB,Lamar Jackson (40770337),Lamar Jackson,40770337,QB,6900,BAL@CLE 11/16/2025 04:25PM ET,BAL,22.93
