Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jonathan Taylor (40928273),Jonathan Taylor,40928273,RB/FLEX,9800,HOU@IND 11/30/2025 01:00PM ET,IND,27.04
WR,Jaxon Smith-Njigba (40928579),Jaxon Smith-Njigba,40928579,WR/FLEX,9500,MIN@SEA 11/30/2025 04:05PM ET,SEA,25.46
RB,Christian McCaffrey (40928275),Christian McCaffrey,40928275,RB/FLEX,9300,SF@CLE 11/30/2025 01:00PM ET,SF,26.42
WR,Puka Nacua (40928581),Puka Nacua,40928581,WR/FLEX,9000,LAR@CAR 11/30/2025 01:00PM ET,LAR,22
RB,Bijan Robinson (40928277),Bijan Robinson,40928277,RB/FLEX,8500,ATL@NYJ 11/30/2025 01:00PM ET,ATL,21.87
RB,De'Von Achane (40928279),De'Von Achane,40928279,RB/FLEX,8300,NO@MIA 11/30/2025 01:00PM ET,MIA,22.18
TE,Trey McBride (40929089),Trey McBride,40929089,TE/FLEX,7800,ARI@TB 11/30/2025 01:00PM ET,ARI,18.88
RB,James Cook III (40928281),James Cook III,40928281,RB/FLEX,7600,BUF@PIT 11/30/2025 04:25PM ET,BUF,20.34
WR,Davante Adams (40928583),Davante Adams,40928583,WR/FLEX,7500,LAR@CAR 11/30/2025 01:00PM ET,LAR,16.92
QB,Josh Allen (40928183),Josh Allen,40928183,QB,7500,BUF@PIT 11/30/2025 04:25PM ET,BUF,25.04
WR,Drake London (40928585),Drake London,40928585,WR/FLEX,7300,ATL@NYJ 11/30/2025 01:00PM ET,ATL,21.44
RB,Saquon Barkley (40928283),Saquon Barkley,40928283,RB/FLEX,7200,CHI@PHI 11/28/2025 03:00PM ET,PHI,15.21
WR,Justin Jefferson (40928587),Justin Jefferson,40928587,WR/FLEX,7100,MIN@SEA 11/30/2025 04:05PM ET,MIN,14.36
QB,Matthew Stafford (40928184),Matthew Stafford,40928184,QB,7000,LAR@CAR 11/30/2025 01:00PM ET,LAR,21.3
RB,Bucky Irving (40928285),Bucky Irving,40928285,RB/FLEX,7000,ARI@TB 11/30/2025 01:00PM ET,TB,19
RB,Rico Dowdle (40928287),Rico Dowdle,40928287,RB/FLEX,6900,LAR@CAR 11/30/2025 01:00PM ET,CAR,15.2
WR,Jaylen Waddle (40928589),Jaylen Waddle,40928589,WR/FLEX,6800,NO@MIA 11/30/2025 01:00PM ET,MIA,14.05
QB,Drake Maye (40928185),Drake Maye,40928185,QB,6800,NYG@NE 12/01/2025 08:15PM ET,NE,20.59
WR,Nico Collins (40928591),Nico Collins,40928591,WR/FLEX,6700,HOU@IND 11/30/2025 01:00PM ET,HOU,15.35
QB,Jalen Hurts (40928186),Jalen Hurts,40928186,QB,6600,CHI@PHI 11/28/2025 03:00PM ET,PHI,21.56
RB,Kyren Williams (40928289),Kyren Williams,40928289,RB/FLEX,6600,LAR@CAR 11/30/2025 01:00PM ET,LAR,16.09
WR,Emeka Egbuka (40928593),Emeka Egbuka,40928593,WR/FLEX,6500,ARI@TB 11/30/2025 01:00PM ET,TB,15.53
RB,Travis Etienne Jr. (40928291),Travis Etienne Jr.,40928291,RB/FLEX,6500,JAX@TEN 11/30/2025 01:00PM ET,JAX,15.41
QB,Justin Herbert (40928187),Justin Herbert,40928187,QB,6500,LV@LAC 11/30/2025 04:25PM ET,LAC,20.47
WR,Chris Olave (40928595),Chris Olave,40928595,WR/FLEX,6400,NO@MIA 11/30/2025 01:00PM ET,NO,15.28
RB,Ashton Jeanty (40928293),Ashton Jeanty,40928293,RB/FLEX,6400,LV@LAC 11/30/2025 04:25PM ET,LV,15.41
QB,Daniel Jones (40928188),Daniel Jones,40928188,QB,6300,HOU@IND 11/30/2025 01:00PM ET,IND,20.5
WR,Ladd McConkey (40928597),Ladd McConkey,40928597,WR/FLEX,6300,LV@LAC 11/30/2025 04:25PM ET,LAC,13.49
RB,Jaylen Warren (40928295),Jaylen Warren,40928295,RB/FLEX,6300,BUF@PIT 11/30/2025 04:25PM ET,PIT,13.43
RB,Quinshon Judkins (40928297),Quinshon Judkins,40928297,RB/FLEX,6200,SF@CLE 11/30/2025 01:00PM ET,CLE,13.27
WR,Brian Thomas Jr. (40928601),Brian Thomas Jr.,40928601,WR/FLEX,6200,JAX@TEN 11/30/2025 01:00PM ET,JAX,10.7
QB,Jayden Daniels (40928189),Jayden Daniels,40928189,QB,6200,DEN@WAS 11/30/2025 08:20PM ET,WAS,19.26
WR,Stefon Diggs (40928599),Stefon Diggs,40928599,WR/FLEX,6200,NYG@NE 12/01/2025 08:15PM ET,NE,12.99
WR,A.J. Brown (40928603),A.J. Brown,40928603,WR/FLEX,6100,CHI@PHI 11/28/2025 03:00PM ET,PHI,13.57
WR,Tetairoa McMillan (40928605),Tetairoa McMillan,40928605,WR/FLEX,6100,LAR@CAR 11/30/2025 01:00PM ET,CAR,14.19
QB,Bo Nix (40928190),Bo Nix,40928190,QB,6100,DEN@WAS 11/30/2025 08:20PM ET,DEN,19.10
RB,TreVeyon Henderson (40928299),TreVeyon Henderson,40928299,RB/FLEX,6100,NYG@NE 12/01/2025 08:15PM ET,NE,11.73
QB,Brock Purdy (40928191),Brock Purdy,40928191,QB,6000,SF@CLE 11/30/2025 01:00PM ET,SF,18.02
RB,Breece Hall (40928301),Breece Hall,40928301,RB/FLEX,6000,ATL@NYJ 11/30/2025 01:00PM ET,NYJ,14.90
WR,Marvin Harrison Jr. (40928607),Marvin Harrison Jr.,40928607,WR/FLEX,6000,ARI@TB 11/30/2025 01:00PM ET,ARI,12.5
WR,Wan'Dale Robinson (40928609),Wan'Dale Robinson,40928609,WR/FLEX,6000,NYG@NE 12/01/2025 08:15PM ET,NYG,14.13
WR,Rome Odunze (40928613),Rome Odunze,40928613,WR/FLEX,5900,CHI@PHI 11/28/2025 03:00PM ET,CHI,13.57
QB,Baker Mayfield (40928192),Baker Mayfield,40928192,QB,5900,ARI@TB 11/30/2025 01:00PM ET,TB,17.62
WR,Michael Wilson (40928611),Michael Wilson,40928611,WR/FLEX,5900,ARI@TB 11/30/2025 01:00PM ET,ARI,10.22
RB,Omarion Hampton (40928303),Omarion Hampton,40928303,RB/FLEX,5900,LV@LAC 11/30/2025 04:25PM ET,LAC,16
RB,Woody Marks (40928305),Woody Marks,40928305,RB/FLEX,5800,HOU@IND 11/30/2025 01:00PM ET,HOU,9.24
WR,Michael Pittman Jr. (40928617),Michael Pittman Jr.,40928617,WR/FLEX,5800,HOU@IND 11/30/2025 01:00PM ET,IND,15.16
QB,Jacoby Brissett (40928193),Jacoby Brissett,40928193,QB,5800,ARI@TB 11/30/2025 01:00PM ET,ARI,17.56
TE,Brock Bowers (40929091),Brock Bowers,40929091,TE/FLEX,5800,LV@LAC 11/30/2025 04:25PM ET,LV,15.28
WR,Courtland Sutton (40928615),Courtland Sutton,40928615,WR/FLEX,5800,DEN@WAS 11/30/2025 08:20PM ET,DEN,12.63
QB,Caleb Williams (40928194),Caleb Williams,40928194,QB,5700,CHI@PHI 11/28/2025 03:00PM ET,CHI,19.93
RB,D'Andre Swift (40928309),D'Andre Swift,40928309,RB/FLEX,5700,CHI@PHI 11/28/2025 03:00PM ET,CHI,14.53
WR,Jakobi Meyers (40928619),Jakobi Meyers,40928619,WR/FLEX,5700,JAX@TEN 11/30/2025 01:00PM ET,JAX,10.17
RB,Kimani Vidal (40928307),Kimani Vidal,40928307,RB/FLEX,5700,LV@LAC 11/30/2025 04:25PM ET,LAC,10.36
WR,Deebo Samuel Sr. (40928621),Deebo Samuel Sr.,40928621,WR/FLEX,5700,DEN@WAS 11/30/2025 08:20PM ET,WAS,14.12
WR,DeVonta Smith (40928625),DeVonta Smith,40928625,WR/FLEX,5600,CHI@PHI 11/28/2025 03:00PM ET,PHI,14.04
QB,Sam Darnold (40928195),Sam Darnold,40928195,QB,5600,MIN@SEA 11/30/2025 04:05PM ET,SEA,16.76
RB,Aaron Jones Sr. (40928313),Aaron Jones Sr.,40928313,RB/FLEX,5600,MIN@SEA 11/30/2025 04:05PM ET,MIN,10.07
WR,DK Metcalf (40928623),DK Metcalf,40928623,WR/FLEX,5600,BUF@PIT 11/30/2025 04:25PM ET,PIT,12.68
RB,Tyrone Tracy Jr. (40928311),Tyrone Tracy Jr.,40928311,RB/FLEX,5600,NYG@NE 12/01/2025 08:15PM ET,NYG,8.74
RB,Alvin Kamara (40928317),Alvin Kamara,40928317,RB/FLEX,5500,NO@MIA 11/30/2025 01:00PM ET,NO,9.34
RB,Sean Tucker (40928315),Sean Tucker,40928315,RB/FLEX,5500,ARI@TB 11/30/2025 01:00PM ET,TB,6.56
WR,Khalil Shakir (40928627),Khalil Shakir,40928627,WR/FLEX,5500,BUF@PIT 11/30/2025 04:25PM ET,BUF,11.9
QB,Jaxson Dart (40928196),Jaxson Dart,40928196,QB,5500,NYG@NE 12/01/2025 08:15PM ET,NYG,18.38
RB,Trey Benson (40928321),Trey Benson,40928321,RB/FLEX,5400,ARI@TB 11/30/2025 01:00PM ET,ARI,8.85
QB,Trevor Lawrence (40928197),Trevor Lawrence,40928197,QB,5400,JAX@TEN 11/30/2025 01:00PM ET,JAX,17.21
WR,Parker Washington (40928629),Parker Washington,40928629,WR/FLEX,5400,JAX@TEN 11/30/2025 01:00PM ET,JAX,9.78
RB,RJ Harvey (40928319),RJ Harvey,40928319,RB/FLEX,5400,DEN@WAS 11/30/2025 08:20PM ET,DEN,9.81
QB,Bryce Young (40928198),Bryce Young,40928198,QB,5300,LAR@CAR 11/30/2025 01:00PM ET,CAR,14.18
TE,George Kittle (40929093),George Kittle,40929093,TE/FLEX,5300,SF@CLE 11/30/2025 01:00PM ET,SF,13.66
WR,Darnell Mooney (40928633),Darnell Mooney,40928633,WR/FLEX,5300,ATL@NYJ 11/30/2025 01:00PM ET,ATL,6.09
RB,Kenneth Walker III (40928325),Kenneth Walker III,40928325,RB/FLEX,5300,MIN@SEA 11/30/2025 04:05PM ET,SEA,11.58
RB,Kenneth Gainwell (40928323),Kenneth Gainwell,40928323,RB/FLEX,5300,BUF@PIT 11/30/2025 04:25PM ET,PIT,11.64
WR,Troy Franklin (40928631),Troy Franklin,40928631,WR/FLEX,5300,DEN@WAS 11/30/2025 08:20PM ET,DEN,12.07
RB,Kyle Monangai (40928329),Kyle Monangai,40928329,RB/FLEX,5200,CHI@PHI 11/28/2025 03:00PM ET,CHI,8.44
WR,Ricky Pearsall (40928635),Ricky Pearsall,40928635,WR/FLEX,5200,SF@CLE 11/30/2025 01:00PM ET,SF,10.35
