Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Puka Nacua (41434298),Puka Nacua,41434298,WR/FLEX,8700,LAR@CAR 01/10/2026 04:30PM ET,LAR,24.62
RB,Christian McCaffrey (41434154),Christian McCaffrey,41434154,RB/FLEX,8500,SF@PHI 01/11/2026 04:30PM ET,SF,25.21
RB,James Cook III (41434156),James Cook III,41434156,RB/FLEX,7400,BUF@JAX 01/11/2026 01:00PM ET,BUF,19.54
WR,Nico Collins (41434300),Nico Collins,41434300,WR/FLEX,7200,HOU@PIT 01/12/2026 08:15PM ET,HOU,15.75
RB,Saquon Barkley (41434158),Saquon Barkley,41434158,RB/FLEX,7000,SF@PHI 01/11/2026 04:30PM ET,PHI,15.14
QB,Josh Allen (41434115),Josh Allen,41434115,QB,7000,BUF@JAX 01/11/2026 01:00PM ET,BUF,22.74
QB,Matthew Stafford (41434116),Matthew Stafford,41434116,QB,6900,LAR@CAR 01/10/2026 04:30PM ET,LAR,21.96
WR,A.J. Brown (41434302),A.J. Brown,41434302,WR/FLEX,6900,SF@PHI 01/11/2026 04:30PM ET,PHI,15.69
QB,Drake Maye (41434117),Drake Maye,41434117,QB,6800,LAC@NE 01/11/2026 08:00PM ET,NE,21.53
RB,Travis Etienne Jr. (41434160),Travis Etienne Jr.,41434160,RB/FLEX,6600,BUF@JAX 01/11/2026 01:00PM ET,JAX,15.29
WR,Davante Adams (41434304),Davante Adams,41434304,WR/FLEX,6500,LAR@CAR 01/10/2026 04:30PM ET,LAR,16.14
RB,Kyren Williams (41434162),Kyren Williams,41434162,RB/FLEX,6400,LAR@CAR 01/10/2026 04:30PM ET,LAR,15.78
RB,Josh Jacobs (41434164),Josh Jacobs,41434164,RB/FLEX,6300,GB@CHI 01/10/2026 08:00PM ET,GB,15.94
QB,Jalen Hurts (41434118),Jalen Hurts,41434118,QB,6300,SF@PHI 01/11/2026 04:30PM ET,PHI,19.50
WR,Stefon Diggs (41434306),Stefon Diggs,41434306,WR/FLEX,6300,LAC@NE 01/11/2026 08:00PM ET,NE,13.25
TE,George Kittle (41434526),George Kittle,41434526,TE/FLEX,6200,SF@PHI 01/11/2026 04:30PM ET,SF,14.96
RB,Omarion Hampton (41434166),Omarion Hampton,41434166,RB/FLEX,6200,LAC@NE 01/11/2026 08:00PM ET,LAC,15.41
RB,Jaylen Warren (41434168),Jaylen Warren,41434168,RB/FLEX,6100,HOU@PIT 01/12/2026 08:15PM ET,PIT,13.94
QB,Trevor Lawrence (41434119),Trevor Lawrence,41434119,QB,6100,BUF@JAX 01/11/2026 01:00PM ET,JAX,20.95
WR,Tetairoa McMillan (41434308),Tetairoa McMillan,41434308,WR/FLEX,6000,LAR@CAR 01/10/2026 04:30PM ET,CAR,12.85
QB,Brock Purdy (41434120),Brock Purdy,41434120,QB,6000,SF@PHI 01/11/2026 04:30PM ET,SF,21.71
RB,TreVeyon Henderson (41434170),TreVeyon Henderson,41434170,RB/FLEX,6000,LAC@NE 01/11/2026 08:00PM ET,NE,12.54
WR,DeVonta Smith (41434310),DeVonta Smith,41434310,WR/FLEX,5900,SF@PHI 01/11/2026 04:30PM ET,PHI,12.22
RB,Kenneth Gainwell (41434172),Kenneth Gainwell,41434172,RB/FLEX,5900,HOU@PIT 01/12/2026 08:15PM ET,PIT,13.08
WR,Rome Odunze (41434312),Rome Odunze,41434312,WR/FLEX,5800,GB@CHI 01/10/2026 08:00PM ET,CHI,12.68
QB,Justin Herbert (41434121),Justin Herbert,41434121,QB,5800,LAC@NE 01/11/2026 08:00PM ET,LAC,19.62
RB,Rhamondre Stevenson (41434174),Rhamondre Stevenson,41434174,RB/FLEX,5800,LAC@NE 01/11/2026 08:00PM ET,NE,13.2
RB,D'Andre Swift (41434176),D'Andre Swift,41434176,RB/FLEX,5700,GB@CHI 01/10/2026 08:00PM ET,CHI,14.98
WR,Ladd McConkey (41434314),Ladd McConkey,41434314,WR/FLEX,5700,LAC@NE 01/11/2026 08:00PM ET,LAC,11.68
QB,Caleb Williams (41434122),Caleb Williams,41434122,QB,5600,GB@CHI 01/10/2026 08:00PM ET,CHI,19.39
WR,Jauan Jennings (41434316),Jauan Jennings,41434316,WR/FLEX,5600,SF@PHI 01/11/2026 04:30PM ET,SF,11.62
RB,Woody Marks (41434178),Woody Marks,41434178,RB/FLEX,5600,HOU@PIT 01/12/2026 08:15PM ET,HOU,9.44
RB,Rico Dowdle (41434180),Rico Dowdle,41434180,RB/FLEX,5500,LAR@CAR 01/10/2026 04:30PM ET,CAR,13.31
WR,Jakobi Meyers (41434318),Jakobi Meyers,41434318,WR/FLEX,5500,BUF@JAX 01/11/2026 01:00PM ET,JAX,11.05
RB,Blake Corum (41434182),Blake Corum,41434182,RB/FLEX,5400,LAR@CAR 01/10/2026 04:30PM ET,LAR,7.36
WR,DK Metcalf (41434320),DK Metcalf,41434320,WR/FLEX,5400,HOU@PIT 01/12/2026 08:15PM ET,PIT,12.88
QB,Jordan Love (41434123),Jordan Love,41434123,QB,5300,GB@CHI 01/10/2026 08:00PM ET,GB,16.61
RB,Emanuel Wilson (41434184),Emanuel Wilson,41434184,RB/FLEX,5300,GB@CHI 01/10/2026 08:00PM ET,GB,5.74
WR,DJ Moore (41434322),DJ Moore,41434322,WR/FLEX,5300,GB@CHI 01/10/2026 08:00PM ET,CHI,10.07
RB,Kyle Monangai (41434186),Kyle Monangai,41434186,RB/FLEX,5200,GB@CHI 01/10/2026 08:00PM ET,CHI,8.98
WR,Quentin Johnston (41434324),Quentin Johnston,41434324,WR/FLEX,5200,LAC@NE 01/11/2026 08:00PM ET,LAC,12.51
QB,C.J. Stroud (41434124),C.J. Stroud,41434124,QB,5200,HOU@PIT 01/12/2026 08:15PM ET,HOU,15.68
WR,Ricky Pearsall (41434326),Ricky Pearsall,41434326,WR/FLEX,5100,SF@PHI 01/11/2026 04:30PM ET,SF,10.51
QB,Bryce Young (41434125),Bryce Young,41434125,QB,5000,LAR@CAR 01/10/2026 04:30PM ET,CAR,14.94
RB,Brian Robinson Jr. (41434188),Brian Robinson Jr.,41434188,RB/FLEX,5000,SF@PHI 01/11/2026 04:30PM ET,SF,3.68
WR,Parker Washington (41434328),Parker Washington,41434328,WR/FLEX,5000,BUF@JAX 01/11/2026 01:00PM ET,JAX,11.92
WR,Christian Watson (41434330),Christian Watson,41434330,WR/FLEX,4900,GB@CHI 01/10/2026 08:00PM ET,GB,13.54
RB,Tank Bigsby (41434190),Tank Bigsby,41434190,RB/FLEX,4900,SF@PHI 01/11/2026 04:30PM ET,PHI,3.34
QB,Aaron Rodgers (41434126),Aaron Rodgers,41434126,QB,4800,HOU@PIT 01/12/2026 08:15PM ET,PIT,14.69
RB,Nick Chubb (41434192),Nick Chubb,41434192,RB/FLEX,4800,HOU@PIT 01/12/2026 08:15PM ET,HOU,5.89
WR,Khalil Shakir (41434332),Khalil Shakir,41434332,WR/FLEX,4800,BUF@JAX 01/11/2026 01:00PM ET,BUF,10.65
RB,Kimani Vidal (41434194),Kimani Vidal,41434194,RB/FLEX,4700,LAC@NE 01/11/2026 08:00PM ET,LAC,9.76
WR,Brian Thomas Jr. (41434334),Brian Thomas Jr.,41434334,WR/FLEX,4700,BUF@JAX 01/11/2026 01:00PM ET,JAX,9.91
WR,Luther Burden III (41434336),Luther Burden III,41434336,WR/FLEX,4600,GB@CHI 01/10/2026 08:00PM ET,CHI,8.93
RB,Bhayshul Tuten (41434196),Bhayshul Tuten,41434196,RB/FLEX,4600,BUF@JAX 01/11/2026 01:00PM ET,JAX,5.97
RB,Chuba Hubbard (41434198),Chuba Hubbard,41434198,RB/FLEX,4500,LAR@CAR 01/10/2026 04:30PM ET,CAR,8.43
WR,Jalen Coker (41434338),Jalen Coker,41434338,WR/FLEX,4500,LAR@CAR 01/10/2026 04:30PM ET,CAR,8.31
QB,Mac Jones (41434127),Mac Jones,41434127,QB,4500,SF@PHI 01/11/2026 04:30PM ET,SF,13.37
TE,Hunter Henry (41434528),Hunter Henry,41434528,TE/FLEX,4500,LAC@NE 01/11/2026 08:00PM ET,NE,10.69
WR,Romeo Doubs (41434340),Romeo Doubs,41434340,WR/FLEX,4400,GB@CHI 01/10/2026 08:00PM ET,GB,10.34
TE,Colston Loveland (41434530),Colston Loveland,41434530,TE/FLEX,4400,GB@CHI 01/10/2026 08:00PM ET,CHI,10.51
RB,Ty Johnson (41434200),Ty Johnson,41434200,RB/FLEX,4400,BUF@JAX 01/11/2026 01:00PM ET,BUF,5.9
RB,Chris Brooks (41434202),Chris Brooks,41434202,RB/FLEX,4300,GB@CHI 01/10/2026 08:00PM ET,GB,1.92
WR,Kayshon Boutte (41434342),Kayshon Boutte,41434342,WR/FLEX,4300,LAC@NE 01/11/2026 08:00PM ET,NE,9.08
TE,Dallas Goedert (41434532),Dallas Goedert,41434532,TE/FLEX,4200,SF@PHI 01/11/2026 04:30PM ET,PHI,12.54
WR,Keenan Allen (41434344),Keenan Allen,41434344,WR/FLEX,4200,LAC@NE 01/11/2026 08:00PM ET,LAC,10.92
RB,Ray Davis (41434204),Ray Davis,41434204,RB/FLEX,4200,BUF@JAX 01/11/2026 01:00PM ET,BUF,3.95
RB,Will Shipley (41434206),Will Shipley,41434206,RB/FLEX,4100,SF@PHI 01/11/2026 04:30PM ET,PHI,1.23
WR,Jayden Higgins (41434346),Jayden Higgins,41434346,WR/FLEX,4100,HOU@PIT 01/12/2026 08:15PM ET,HOU,7.62
QB,Malik Willis (41434129),Malik Willis,41434129,QB,4000,GB@CHI 01/10/2026 08:00PM ET,GB,13.04
QB,Tyson Bagent (41434132),Tyson Bagent,41434132,QB,4000,GB@CHI 01/10/2026 08:00PM ET,CHI,0.86
QB,Clayton Tune (41434151),Clayton Tune,41434151,QB,4000,GB@CHI 01/10/2026 08:00PM ET,GB,1.49
QB,Desmond Ridder (41434152),Desmond Ridder,41434152,QB,4000,GB@CHI 01/10/2026 08:00PM ET,GB,0
QB,Case Keenum (41434153),Case Keenum,41434153,QB,4000,GB@CHI 01/10/2026 08:00PM ET,CHI,0
RB,MarShawn Lloyd (41434280),MarShawn Lloyd,41434280,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,GB,0
RB,Pierre Strong Jr. (41434282),Pierre Strong Jr.,41434282,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,GB,0
RB,Damien Martinez (41434284),Damien Martinez,41434284,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,GB,0
RB,Travis Homer (41434286),Travis Homer,41434286,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,CHI,-0.02
RB,Roschon Johnson (41434288),Roschon Johnson,41434288,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,CHI,0.24
RB,Deion Hankins (41434290),Deion Hankins,41434290,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,CHI,0
RB,Brittain Brown (41434292),Brittain Brown,41434292,RB/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,CHI,3.23
WR,Jayden Reed (41434348),Jayden Reed,41434348,WR/FLEX,4000,GB@CHI 01/10/2026 08:00PM ET,GB,6.93
QB,Andy Dalton (41434147),Andy Dalton,41434147,QB,4000,LAR@CAR 01/10/2026 04:30PM ET,CAR,3.13
QB,Mike White (41434148),Mike White,41434148,QB,4000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0
QB,Jimmy Garoppolo (41434149),Jimmy Garoppolo,41434149,QB,4000,LAR@CAR 01/10/2026 04:30PM ET,LAR,-0.33
QB,Stetson Bennett IV (41434150),Stetson Bennett IV,41434150,QB,4000,LAR@CAR 01/10/2026 04:30PM ET,LAR,0
RB,Trevor Etienne (41434268),Trevor Etienne,41434268,RB/FLEX,4000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0.75
RB,Jonathon Brooks (41434270),Jonathon Brooks,41434270,RB/FLEX,4000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0
RB,Montrell Johnson Jr. (41434272),Montrell Johnson Jr.,41434272,RB/FLEX,4000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0
RB,Anthony Tyus III (41434274),Anthony Tyus III,41434274,RB/FLEX,4000,LAR@CAR 01/10/2026 04:30PM ET,CAR,0
RB,Ronnie Rivers (41434276),Ronnie Rivers,41434276,RB/FLEX,4000,LAR@CAR 01/10/2026 04:30PM ET,LAR,0.42
RB,Jarquez Hunter (41434278),Jarquez Hunter,41434278,RB/FLEX,4000,LAR@CAR 01/10/2026 04:30PM ET,LAR,0
QB,Tanner McKee (41434131),Tanner McKee,41434131,QB,4000,SF@PHI 01/11/2026 04:30PM ET,PHI,3.69
QB,Kurtis Rourke (41434143),Kurtis Rourke,41434143,QB,4000,SF@PHI 01/11/2026 04:30PM ET,SF,0
QB,Adrian Martinez (41434144),Adrian Martinez,41434144,QB,4000,SF@PHI 01/11/2026 04:30PM ET,SF,-0.1
QB,Sam Howell (41434145),Sam Howell,41434145,QB,4000,SF@PHI 01/11/2026 04:30PM ET,PHI,0
QB,Kyle McCord (41434146),Kyle McCord,41434146,QB,4000,SF@PHI 01/11/2026 04:30PM ET,PHI,0
RB,Jordan James (41434256),Jordan James,41434256,RB/FLEX,4000,SF@PHI 01/11/2026 04:30PM ET,SF,0
RB,Isaac Guerendo (41434258),Isaac Guerendo,41434258,RB/FLEX,4000,SF@PHI 01/11/2026 04:30PM ET,SF,0
RB,Patrick Taylor Jr. (41434260),Patrick Taylor Jr.,41434260,RB/FLEX,4000,SF@PHI 01/11/2026 04:30PM ET,SF,0
RB,Kyle Juszczyk (41434262),Kyle Juszczyk,41434262,RB/FLEX,4000,SF@PHI 01/11/2026 04:30PM ET,SF,3.35
RB,A.J. Dillon (41434264),A.J. Dillon,41434264,RB/FLEX,4000,SF@PHI 01/11/2026 04:30PM ET,PHI,1.44
