Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (40058244),Christian McCaffrey,40058244,RB/FLEX,8200,ARI@SF 09/21/2025 04:25PM ET,SF,22.95
WR,Ja'Marr Chase (40058534),Ja'Marr Chase,40058534,WR/FLEX,8100,CIN@MIN 09/21/2025 01:00PM ET,CIN,22.05
WR,CeeDee Lamb (40058536),CeeDee Lamb,40058536,WR/FLEX,8000,DAL@CHI 09/21/2025 04:25PM ET,DAL,22.1
RB,Bijan Robinson (40058246),Bijan Robinson,40058246,RB/FLEX,7900,ATL@CAR 09/21/2025 01:00PM ET,ATL,25.1
RB,Saquon Barkley (40058248),Saquon Barkley,40058248,RB/FLEX,7800,LAR@PHI 09/21/2025 01:00PM ET,PHI,17.9
WR,Puka Nacua (40058538),Puka Nacua,40058538,WR/FLEX,7700,LAR@PHI 09/21/2025 01:00PM ET,LAR,26.85
WR,Justin Jefferson (40058540),Justin Jefferson,40058540,WR/FLEX,7500,CIN@MIN 09/21/2025 01:00PM ET,MIN,12.95
WR,Nico Collins (40058542),Nico Collins,40058542,WR/FLEX,7300,HOU@JAX 09/21/2025 01:00PM ET,HOU,5.5
RB,Jonathan Taylor (40058250),Jonathan Taylor,40058250,RB/FLEX,7200,IND@TEN 09/21/2025 01:00PM ET,IND,22.65
RB,Bucky Irving (40058252),Bucky Irving,40058252,RB/FLEX,7100,NYJ@TB 09/21/2025 01:00PM ET,TB,14.5
RB,Josh Jacobs (40058254),Josh Jacobs,40058254,RB/FLEX,7000,GB@CLE 09/21/2025 01:00PM ET,GB,14.2
QB,Jayden Daniels (40058154),Jayden Daniels,40058154,QB,7000,LV@WAS 09/21/2025 01:00PM ET,WAS,19.91
RB,Chase Brown (40058256),Chase Brown,40058256,RB/FLEX,6900,CIN@MIN 09/21/2025 01:00PM ET,CIN,10.8
QB,Jalen Hurts (40058155),Jalen Hurts,40058155,QB,6800,LAR@PHI 09/21/2025 01:00PM ET,PHI,17.91
WR,Ladd McConkey (40058544),Ladd McConkey,40058544,WR/FLEX,6800,DEN@LAC 09/21/2025 04:05PM ET,LAC,13.4
RB,Ashton Jeanty (40058258),Ashton Jeanty,40058258,RB/FLEX,6700,LV@WAS 09/21/2025 01:00PM ET,LV,12
QB,Baker Mayfield (40058156),Baker Mayfield,40058156,QB,6600,NYJ@TB 09/21/2025 01:00PM ET,TB,22.58
WR,Mike Evans (40058546),Mike Evans,40058546,WR/FLEX,6600,NYJ@TB 09/21/2025 01:00PM ET,TB,10.1
QB,Joe Burrow (40058157),Joe Burrow,40058157,QB,6500,CIN@MIN 09/21/2025 01:00PM ET,CIN,7.93
WR,Jaxon Smith-Njigba (40058548),Jaxon Smith-Njigba,40058548,WR/FLEX,6500,NO@SEA 09/21/2025 04:05PM ET,SEA,22.35
RB,James Conner (40058260),James Conner,40058260,RB/FLEX,6500,ARI@SF 09/21/2025 04:25PM ET,ARI,13.3
WR,Brian Thomas Jr. (40058550),Brian Thomas Jr.,40058550,WR/FLEX,6400,HOU@JAX 09/21/2025 01:00PM ET,JAX,8.95
RB,Kyren Williams (40058262),Kyren Williams,40058262,RB/FLEX,6400,LAR@PHI 09/21/2025 01:00PM ET,LAR,11.95
QB,Jordan Love (40058158),Jordan Love,40058158,QB,6300,GB@CLE 09/21/2025 01:00PM ET,GB,18.4
WR,A.J. Brown (40058552),A.J. Brown,40058552,WR/FLEX,6300,LAR@PHI 09/21/2025 01:00PM ET,PHI,4.75
WR,Emeka Egbuka (40058554),Emeka Egbuka,40058554,WR/FLEX,6300,NYJ@TB 09/21/2025 01:00PM ET,TB,23.6
RB,Alvin Kamara (40058264),Alvin Kamara,40058264,RB/FLEX,6300,NO@SEA 09/21/2025 04:05PM ET,NO,15.35
RB,Chuba Hubbard (40058266),Chuba Hubbard,40058266,RB/FLEX,6200,ATL@CAR 09/21/2025 01:00PM ET,CAR,18.3
WR,Davante Adams (40058556),Davante Adams,40058556,WR/FLEX,6200,LAR@PHI 09/21/2025 01:00PM ET,LAR,17.35
WR,Garrett Wilson (40058558),Garrett Wilson,40058558,WR/FLEX,6200,NYJ@TB 09/21/2025 01:00PM ET,NYJ,15.75
QB,Justin Herbert (40058159),Justin Herbert,40058159,QB,6200,DEN@LAC 09/21/2025 04:05PM ET,LAC,30.92
WR,Tee Higgins (40058566),Tee Higgins,40058566,WR/FLEX,6100,CIN@MIN 09/21/2025 01:00PM ET,CIN,10.45
WR,Deebo Samuel Sr. (40058560),Deebo Samuel Sr.,40058560,WR/FLEX,6100,LV@WAS 09/21/2025 01:00PM ET,WAS,20
RB,Javonte Williams (40058268),Javonte Williams,40058268,RB/FLEX,6100,DAL@CHI 09/21/2025 04:25PM ET,DAL,22.7
QB,Kyler Murray (40058160),Kyler Murray,40058160,QB,6100,ARI@SF 09/21/2025 04:25PM ET,ARI,16.66
WR,Drake London (40058564),Drake London,40058564,WR/FLEX,6000,ATL@CAR 09/21/2025 01:00PM ET,ATL,10.2
RB,Breece Hall (40058270),Breece Hall,40058270,RB/FLEX,6000,NYJ@TB 09/21/2025 01:00PM ET,NYJ,12.65
TE,Brock Bowers (40059020),Brock Bowers,40059020,TE/FLEX,6000,LV@WAS 09/21/2025 01:00PM ET,LV,18.3
WR,Courtland Sutton (40058562),Courtland Sutton,40058562,WR/FLEX,6000,DEN@LAC 09/21/2025 04:05PM ET,DEN,9.85
