Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (40683651),Christian McCaffrey,40683651,RB/FLEX,9000,LAR@SF 11/09/2025 04:25PM ET,SF,26.36
WR,Puka Nacua (40684131),Puka Nacua,40684131,WR/FLEX,8700,LAR@SF 11/09/2025 04:25PM ET,LAR,24.37
WR,Jaxon Smith-Njigba (40684309),Jaxon Smith-Njigba,40684309,WR/FLEX,8600,ARI@SEA 11/09/2025 04:05PM ET,SEA,24.5
WR,Amon-Ra St. Brown (40684068),Amon-Ra St. Brown,40684068,WR/FLEX,8400,DET@WAS 11/09/2025 04:25PM ET,DET,21.42
RB,Jahmyr Gibbs (40684313),Jahmyr Gibbs,40684313,RB/FLEX,8000,DET@WAS 11/09/2025 04:25PM ET,DET,18.6
WR,Justin Jefferson (40683949),Justin Jefferson,40683949,WR/FLEX,7900,BAL@MIN 11/09/2025 01:00PM ET,MIN,16.29
RB,Saquon Barkley (40683741),Saquon Barkley,40683741,RB/FLEX,7800,PHI@GB 11/10/2025 08:15PM ET,PHI,16.35
WR,Davante Adams (40683556),Davante Adams,40683556,WR/FLEX,7700,LAR@SF 11/09/2025 04:25PM ET,LAR,17.01
RB,Josh Jacobs (40683825),Josh Jacobs,40683825,RB/FLEX,7600,PHI@GB 11/10/2025 08:15PM ET,GB,19.6
RB,James Cook III (40684105),James Cook III,40684105,RB/FLEX,7500,BUF@MIA 11/09/2025 01:00PM ET,BUF,20.84
RB,De'Von Achane (40684411),De'Von Achane,40684411,RB/FLEX,7400,BUF@MIA 11/09/2025 01:00PM ET,MIA,19.56
QB,Josh Allen (40683712),Josh Allen,40683712,QB,7000,BUF@MIA 11/09/2025 01:00PM ET,BUF,24.16
WR,Emeka Egbuka (40684480),Emeka Egbuka,40684480,WR/FLEX,7000,NE@TB 11/09/2025 01:00PM ET,TB,16.14
RB,Bucky Irving (40684487),Bucky Irving,40684487,RB/FLEX,6900,NE@TB 11/09/2025 01:00PM ET,TB,19
RB,Derrick Henry (40683586),Derrick Henry,40683586,RB/FLEX,6800,BAL@MIN 11/09/2025 01:00PM ET,BAL,14.56
QB,Lamar Jackson (40683717),Lamar Jackson,40683717,QB,6800,BAL@MIN 11/09/2025 01:00PM ET,BAL,24.18
QB,Jalen Hurts (40683779),Jalen Hurts,40683779,QB,6700,PHI@GB 11/10/2025 08:15PM ET,PHI,22.35
WR,Nico Collins (40683954),Nico Collins,40683954,WR/FLEX,6700,JAX@HOU 11/09/2025 01:00PM ET,HOU,13.6
RB,Kyren Williams (40684174),Kyren Williams,40684174,RB/FLEX,6600,LAR@SF 11/09/2025 04:25PM ET,LAR,16.52
QB,Justin Herbert (40683761),Justin Herbert,40683761,QB,6600,PIT@LAC 11/09/2025 08:20PM ET,LAC,22.9
WR,Brian Thomas Jr. (40684444),Brian Thomas Jr.,40684444,WR/FLEX,6500,JAX@HOU 11/09/2025 01:00PM ET,JAX,10.7
RB,Quinshon Judkins (40684569),Quinshon Judkins,40684569,RB/FLEX,6500,CLE@NYJ 11/09/2025 01:00PM ET,CLE,14.23
QB,Matthew Stafford (40683518),Matthew Stafford,40683518,QB,6500,LAR@SF 11/09/2025 04:25PM ET,LAR,21.41
WR,Jaylen Waddle (40684060),Jaylen Waddle,40684060,WR/FLEX,6400,BUF@MIA 11/09/2025 01:00PM ET,MIA,14.10
RB,Rachaad White (40684389),Rachaad White,40684389,RB/FLEX,6400,NE@TB 11/09/2025 01:00PM ET,TB,10.68
QB,Drake Maye (40684460),Drake Maye,40684460,QB,6400,NE@TB 11/09/2025 01:00PM ET,NE,21.73
RB,Rico Dowdle (40683813),Rico Dowdle,40683813,RB/FLEX,6300,NO@CAR 11/09/2025 01:00PM ET,CAR,15.63
QB,Jayden Daniels (40684119),Jayden Daniels,40684119,QB,6300,DET@WAS 11/09/2025 04:25PM ET,WAS,19.26
WR,Ladd McConkey (40684349),Ladd McConkey,40684349,WR/FLEX,6300,PIT@LAC 11/09/2025 08:20PM ET,LAC,13.38
WR,Chris Olave (40684028),Chris Olave,40684028,WR/FLEX,6200,NO@CAR 11/09/2025 01:00PM ET,NO,14.19
