Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Christian McCaffrey (41144451),Christian McCaffrey,41144451,RB/FLEX,9000,TEN@SF 12/14/2025 04:25PM ET,SF,25.73
RB,De'Von Achane (41145412),De'Von Achane,41145412,RB/FLEX,8900,MIA@PIT 12/15/2025 08:15PM ET,MIA,21.84
RB,Jahmyr Gibbs (41145282),Jahmyr Gibbs,41145282,RB/FLEX,8800,DET@LAR 12/14/2025 04:25PM ET,DET,24.58
WR,Puka Nacua (41145075),Puka Nacua,41145075,WR/FLEX,8700,DET@LAR 12/14/2025 04:25PM ET,LAR,22.66
WR,Jaxon Smith-Njigba (41145278),Jaxon Smith-Njigba,41145278,WR/FLEX,8600,IND@SEA 12/14/2025 04:25PM ET,SEA,24.03
RB,Jonathan Taylor (41144820),Jonathan Taylor,41144820,RB/FLEX,8500,IND@SEA 12/14/2025 04:25PM ET,IND,25
WR,Ja'Marr Chase (41144895),Ja'Marr Chase,41144895,WR/FLEX,8100,BAL@CIN 12/14/2025 01:00PM ET,CIN,19.82
RB,James Cook III (41145046),James Cook III,41145046,RB/FLEX,8000,BUF@NE 12/14/2025 01:00PM ET,BUF,19.88
WR,Amon-Ra St. Brown (41145005),Amon-Ra St. Brown,41145005,WR/FLEX,7900,DET@LAR 12/14/2025 04:25PM ET,DET,18.65
WR,Rashee Rice (41145174),Rashee Rice,41145174,WR/FLEX,7700,LAC@KC 12/14/2025 01:00PM ET,KC,20.14
WR,CeeDee Lamb (41144804),CeeDee Lamb,41144804,WR/FLEX,7600,MIN@DAL 12/14/2025 08:20PM ET,DAL,17.67
QB,Josh Allen (41144533),Josh Allen,41144533,QB,7500,BUF@NE 12/14/2025 01:00PM ET,BUF,25.46
TE,Trey McBride (41144873),Trey McBride,41144873,TE/FLEX,7400,ARI@HOU 12/14/2025 01:00PM ET,ARI,18.52
RB,Derrick Henry (41144374),Derrick Henry,41144374,RB/FLEX,7300,BAL@CIN 12/14/2025 01:00PM ET,BAL,15.58
WR,George Pickens (41145152),George Pickens,41145152,WR/FLEX,7300,MIN@DAL 12/14/2025 08:20PM ET,DAL,19.84
WR,Davante Adams (41144342),Davante Adams,41144342,WR/FLEX,7200,DET@LAR 12/14/2025 04:25PM ET,LAR,16.52
RB,Saquon Barkley (41144572),Saquon Barkley,41144572,RB/FLEX,7100,LV@PHI 12/14/2025 01:00PM ET,PHI,14.93
QB,Matthew Stafford (41144290),Matthew Stafford,41144290,QB,7000,DET@LAR 12/14/2025 04:25PM ET,LAR,20.94
RB,Josh Jacobs (41144684),Josh Jacobs,41144684,RB/FLEX,6900,GB@DEN 12/14/2025 04:25PM ET,GB,17.4
QB,Dak Prescott (41144319),Dak Prescott,41144319,QB,6900,MIN@DAL 12/14/2025 08:20PM ET,DAL,21.94
WR,Jaylen Waddle (41144989),Jaylen Waddle,41144989,WR/FLEX,6900,MIA@PIT 12/15/2025 08:15PM ET,MIA,13.82
QB,Jalen Hurts (41144622),Jalen Hurts,41144622,QB,6800,LV@PHI 12/14/2025 01:00PM ET,PHI,20.07
WR,A.J. Brown (41144686),A.J. Brown,41144686,WR/FLEX,6800,LV@PHI 12/14/2025 01:00PM ET,PHI,16.08
RB,Kyren Williams (41145126),Kyren Williams,41145126,RB/FLEX,6800,DET@LAR 12/14/2025 04:25PM ET,LAR,15.99
RB,Chase Brown (41144955),Chase Brown,41144955,RB/FLEX,6700,BAL@CIN 12/14/2025 01:00PM ET,CIN,14.74
WR,Nico Collins (41144845),Nico Collins,41144845,WR/FLEX,6700,ARI@HOU 12/14/2025 01:00PM ET,HOU,16.18
QB,Drake Maye (41145492),Drake Maye,41145492,QB,6700,BUF@NE 12/14/2025 01:00PM ET,NE,20.58
QB,Joe Burrow (41144547),Joe Burrow,41144547,QB,6600,BAL@CIN 12/14/2025 01:00PM ET,CIN,15.12
WR,Michael Wilson (41144964),Michael Wilson,41144964,WR/FLEX,6600,ARI@HOU 12/14/2025 01:00PM ET,ARI,12.25
RB,Rico Dowdle (41144672),Rico Dowdle,41144672,RB/FLEX,6600,CAR@NO 12/14/2025 04:25PM ET,CAR,14.79
WR,Tee Higgins (41144748),Tee Higgins,41144748,WR/FLEX,6500,BAL@CIN 12/14/2025 01:00PM ET,CIN,14.31
